Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
4,21,Transitive,Person,Free,SOV,,0,0.664721259,6,Spatial_Clipped_065,Boy lifts girl,SOV,,0,,E,,NA
4,22,Transitive,Object,Free,SOV,,1,0.664721259,6,Spatial_Clipped_065,Girl rubs heart,SOV,,0,,E,,NA
4,23,Intransitive,None,Free,SV,,0,0.664721259,6,Spatial_Clipped_065,Car tumbles,SV,,0,,,,NA
4,24,Transitive,Object,Free,SOV,,0,0.664721259,6,Spatial_Clipped_065,Old lady elbows ball,SOV,,0,,E,,NA
4,25,Transitive,Person,Free,SOV,,0,0.787677975,6,Spatial_Clipped_066,Fireman pushes boy,OSV,,0,,E,,NA
4,26,Intransitive,None,Free,SV,,0,0.787677975,6,Spatial_Clipped_066,Old lady jumps,SV,,0,,E,,NA
4,27,Transitive,Object,Free,SOV,,0,0.787677975,6,Spatial_Clipped_066,Girl pushes car,SOV,,0,,E,,NA
4,28,Transitive,Object,Free,SOV,,0,0.787677975,6,Spatial_Clipped_066,Boy kicks ball,SOV,,0,,,,NA
5,5,Transitive,Object,Case,OSV,,1,0.587043134,7,Spatial_Clipped_079,Boy kicks ball,OSV,X,0,,,,NA
5,6,Transitive,Object,Case,VSO,,0,0.587043134,7,Spatial_Clipped_079,Girl pushes car,"V,SOV",,1,,,,NA
5,7,Intransitive,None,Case,VSV,,0,0.587043134,7,Spatial_Clipped_079,Old lady jumps,"V,SV",,1,,,,NA
5,8,Transitive,Person,Case,VSOV,,0,0.587043134,7,Spatial_Clipped_079,Fireman pushes boy,"V,SOV",,1,,,,NA
5,9,Transitive,Object,Case,VOSV,,0,0.724345456,7,Spatial_Clipped_080,Old lady elbows ball,"V,OSV",,1,,,,NA
5,10,Intransitive,None,Case,VSV,,0,0.724345456,7,Spatial_Clipped_080,Car tumbles,"V,SV",,1,,,,NA
5,11,Transitive,Object,Case,VSOV,,0,0.724345456,7,Spatial_Clipped_080,Girl rubs heart,"V,SOV",,1,,,,NA
5,12,Transitive,Person,Case,VSOV,,0,0.724345456,7,Spatial_Clipped_080,Boy lifts girl,"V,SOV",,1,,,,NA
5,13,Transitive,Object,Case,VSOV,,0,0.545519748,7,Spatial_Clipped_081,Fireman throws star,"V,SOV",,1,,,,NA
